3	The LL Bottom Bracket features robust chromoly steel construction for long-lasting durability and performance. Designed for smooth rotation and efficient power transfer, this component is a key part of your bike’s drivetrain. Its precision engineering ensures reliable operation even under tough riding conditions, making it an essential upgrade or replacement for serious cyclists. The sleek, extra-light design helps keep your bike running smoothly without added bulk.	301EED3A-1A82-4855-99CB-2AFE8290D641	2025-12-17 22:33:47	0xBEA6213D1F88BEBC59E3AC3C3DD1683CF6C7CF3CAC2C19BC1BA666BB0D0EB63A2F4F323B1DCA2CBCF701103DA96E073D5040F4BCB25BD13A40D4B73CBA14043D64DEC2BBF4093EBDA5AD263C290A803D8282243D2D2B6CBCF62D043DD873A83C0C24303C41B3C0BCC351083D33268DBD27F136BD3A4A48BCA7603B3C0842D8
4	The ML Bottom Bracket is crafted with aluminum alloy cups and features a large diameter spindle for enhanced stiffness and power transfer. Lightweight yet durable, this component is designed for riders looking to improve their bike’s responsiveness and efficiency. Its sleek finish adds a touch of style while the precision fit ensures smooth, reliable performance ride after ride.	DFEBA528-DA11-4650-9D86-CAFDA7294EB0	2025-12-17 22:34:02	0x40F6D63C92F8DABC92F1E33CC21D713C8C716E3CA27F323B4553F93B3A6F6A3DAD3977BAC607B6BC9A5B1E3DC8B24BBCC88F78BDC0A31C3D3A76E1BAD92BB53CAD71AFBA8ADB3DBD64C4003CCE39B83CE9814B3D86F178BCAD7F9D3C3D52B83CEC48BD3B02342EBD04D1D5BA0A6DA7BDE6DDACBC38D2C23CA28DA03B6CD3AF
5	Upgrade your bike’s drivetrain with the HL Bottom Bracket, featuring aluminum alloy cups and a hollow axle for maximum strength-to-weight ratio. This component offers exceptional durability and smooth rotation, ideal for riders who demand high performance and reliability. Its lightweight design helps reduce overall bike weight while maintaining robust construction for tough rides.	F7178DA7-1A7E-4997-8470-06737181305E	2025-12-17 22:34:06	0xB8625C3CACCAF0BC7C225E3D9C11073D99A7373CA82AD6BC0883A43CB465903DB750C33C782512BDDC60EA3C50084D3C338373BDE1A3D33CF60C2A3C9BE5AB3C2F86273C11DD1BBD3A7BC43B445E483DEEF0A63C370785BCDE27EB3C84460A3DC245603BE0EEEBBC94F5033DA82A56BDFA09F6BBD6252ABDD16BCDBBB6ADF4
8	The Mountain-500 Black, 52 cm offers the perfect balance of style, comfort, and rugged performance. Its glossy black frame with eye-catching go-faster stripes is built to withstand challenging trails while providing a smooth and comfortable ride. Featuring precision gear shifting and an extra-light but durable frame, this bike fits riders seeking an affordable yet high-quality mountain bike for any adventure.	8E6746E5-AD97-46E2-BD24-FCEA075C3B52	2025-12-17 22:22:36	0x5DE6893D8E0601BB65B42ABD4E8426BCDD5762BC593A80BCAA739A3CC3BE1C3DA2B0743C00F715BC3EC09A3C27AFF6BBC7F498BD72E72A3AEBB9C53C0DB4083DA6E670BB819751BDC2DDFCBC50014D3D52A63D3CDEFCD23CFC36273D56DCB93CBEBB653C79C930BB66E30DBB44733DBD21FC533CEF8D993B326550BDF75B3A
64	Mountain-400-W Silver, size 46, offers a responsive, maneuverable ride for off-road adventures. Its durable silver frame with a semi-gloss finish is paired with rugged tires designed for superior traction. Lightweight yet sturdy, this bike also features ergonomic grips and a comfortable seat, perfect for those who want performance without breaking the bank.	7B1C4E90-85E2-4792-B47B-E0C424E2EC94	2025-12-17 22:22:27	0x8B372F3D84E953BDCFDC1DBD3167D13BB1548FBC9F78DEBC05E6553C0910903D5A7DB53CF5F3E4BCF0EB9C3C548BADBC9B2920BD834C23BC0025043DEB6BA83C31AEC73B3E60BEBC602847BD4AFDD73C664B053C052D4C3CCFDC1D3DC0154ABD6053E43C77AF09BB8C8D693B9E2224BD92850A3D9ACD4C3B870DF5BCBE0606
88	The Mountain-300 Black, 48 cm size, is engineered for trail riders who demand durability and responsive handling. Its robust frame and advanced suspension absorb shocks on the roughest trails, while the extra-light components keep the bike nimble. Finished in jet black with sleek go-faster stripes, this bike offers top-tier trail performance and aggressive styling at a great value.	4C1AD253-357E-4A98-B02E-02180AA406F6	2025-12-17 22:22:24	0x034A243D8EBA96BC362EB0BCF573403C7CB382BC6B7F24BBB837DA3BCB8B473DAF3B473DA9EA073BB8A20F3B84D7F7BB2A696DBD3921753C47620E3D48D9FC3B89936CBC5351E6BC19DEAFBC4615B53C93EBC63C7D395F3C064CD73C025992BC056A333C06A81EBB45D7C9BC49732FBD2AB6C63CD4F28FBBBC86E6BCB617CB
128	Conquer back-country terrain with the Mountain-200 Black, 46 cm mountain bike. Utilizing the same innovative HL Frame as the Mountain-100, this bike delivers a robust yet lightweight structure. It features a super-smooth front suspension that absorbs shocks and high-traction tires for maximum control on all terrains. Finished in a sleek black with a polished look, this bike is built for serious riders.	130709E6-8512-49B9-9F62-1F5C99152056	2025-12-17 22:22:16	0x50F34C3D343DDCBCB0C143BB843200BC563006BD912FD1BC5D4E453C32E99F3D33FEAE3C9490083CE793E03B7D0AD6BC318B78BD3843FC3C03F9243DDDC3BD3CC69822BC4CC61EBDCA8933BCBE82F73CC9C5D03B69F7593BEAF4973C7137233CAC4B7D3C6CBECC3BD7E4ABBCC19202BDBFA4813C2EAF76BC1F1551BD379E93
168	Take on the wild with the Mountain-100 Black, 48 cm mountain bike. Designed with the innovative HL Frame, it provides excellent strength while maintaining a lightweight feel. The super-smooth front suspension makes rough trails feel effortless, and the high-traction tires keep you firmly planted on any terrain. Finished in a sleek black with stylish accents, this bike stands out while delivering peak performance.	DB979DA6-4CC8-4171-9ECF-65003FF8178A	2025-12-17 22:22:13	0x2C2A483D69BEA4BC62151BBC9CB3B3BBAA1210BD874628BDF0268A3C3893603DBC24B23CB1AED03B41137E3CC1D7F7BBCE5584BD53C8A53CDFE8EE3C4113FE3C5C5AAABC1267F1BCD1965BBC1A0B5D3D56AC023CE4B028BC9D37893CE3B5463CFB0B4D3C950F48BCECD0BEBCE8FEC8BCAEE4853CC268163C3D6D01BDD3084A
170	Suitable for any type of off-road trip. Fits any budget.	EA772412-6369-4416-9CC9-C1A5D1FF9C52	2025-12-17 22:24:40	0x5D38FABA2894EDBC8AAFB2BCEAF288BCC22306BD1DB73BBDDCFD153A97FC323D8B9F1F3CA6C9143BB106BFBBCC8841BCD9454DBCDA353ABC7FBA823D7C32B6BC1EBFA6BC6270A4BCEA62143CA5D9273DC19311BA7832F33CA7298DBD56BB83BD35C9EF3B10E231BD61E0AF3C1CAFD03C979C3A3C0EBADDBCB2AE31BC64C009
209	The Road-750 Black, 52 cm is an entry-level adult road bike designed to deliver a comfortable and reliable ride, whether you're tackling cross-country routes or simply enjoying a neighborhood spin. Equipped with quick-release hubs and rims, wheel removal and adjustments are hassle-free, making maintenance a breeze. This model features a sleek black frame that balances toughness with an elegant look, while its 52 cm size offers a perfect fit for riders seeking performance and comfort. Lightweight yet robust, it’s a dependable choice for new and experienced cyclists alike.	F5FF5FFD-CB7C-4AD6-BBC9-4D250BB6E98D	2025-12-17 22:23:33	0x635E953DA2485BBCBC43ECBC22313F3BD49E8BBC519A41BC02CFA9B973A7033D439D803CA2B1063DD53F8C3CA1A75ABDFDD85EBD163D1B3DA8778A3DAC92E13B90554FBCAD6CC6BC21BF76BCC2139C3DF7E3223D08FDC93C00C68C3D9B119E3C52A35E3C69BBED3A240BA4BBFF1AE0BCFB96DD3C5E2F66BD00F544BCD04941
